LOCATION_NAME	LOC_ELECTORATE	LOC_S_ADDRESS1	LOC_S_SUBURB	LOC_S_STATE	LOC_S_POSTCODE
Greek Orth Community Hall	Kogarah	20 Belgrave Street	KOGARAH	NSW	2217
Hurstville PS	Kogarah	Forest Road	HURSTVILLE	NSW	2220
Mortdale PS	Oatley	Coleborne Avenue	MORTDALE	NSW	2223
Ramsgate PS	Rockdale	Chuter Avenue	RAMSGATE	NSW	2217
Sans Souci PS	Rockdale	Rock Point Road	SANS SOUCI	NSW	2219
Canley Vale HS	Fairfield	Prospect Road	CANLEY VALE	NSW	2166
Brookvale PS	Wakehurst	Old Pittwater Rd	BROOKVALE	NSW	2100
St Michael's Greek Orthodox Church	North Shore	53-59 Holterman Street	CROWS NEST	NSW	2065
Ashabul Kahfi Islamic Centre	Lakemba	11 Edge Street	WILEY PARK	NSW	2195
Punchbowl PS	Lakemba	Canterbury Road	PUNCHBOWL	NSW	2196
Horsley Park PS	Mulgoa	The Horsley Drive	HORSLEY PARK	NSW	2164
Our Lady Of Lebanon College - Harris Park	Parramatta	40 Alice Street	HARRIS PARK	NSW	2150
St George Maronite Church Thornleigh	Hornsby	2 Yarrara Road	THORNLEIGH	NSW	2120
St John the Beloved Arabic School	Mount Druitt	63 George St	MOUNT DRUITT	NSW	2770
St Joseph's Maronite CS - Croydon	Strathfield	7 Acton St.	CROYDON	NSW	2132
Kogarah PS	Kogarah	Gladstone Street	KOGARAH	NSW	2217
Marrickville HS	Summer Hill	Northcote Street	MARRICKVILLE	NSW	2204
Summer Hill PS	Canterbury	Moonbie Street	SUMMER HILL	NSW	2130
La Perouse PS	Maroubra	Yarra Road	LA PEROUSE	NSW	2036
Ambarvale PS	Wollondilly	Copperfield Drive	AMBARVALE	NSW	2560
Fairfield HS	Fairfield	The Horsley Drive	FAIRFIELD	NSW	2165
St John Serbian Orthodox Church Hall	Shellharbour	20 Dale Street	DAPTO	NSW	2530
Bass HS	Bankstown	Hume Hwy & Arundle Rd	BASS HILL	NSW	2197
Auburn North PS	Auburn	Adderley Street	AUBURN	NSW	2144
Uruguayan Social Sporting Club	Liverpool	56-62 Whitford Road	HINCHINBROOK	NSW	2168
Ascham School	Vaucluse	188 New South Head Road	EDGECLIFF	NSW	2027
Dundas PS	Parramatta	Kissing Point Road	DUNDAS	NSW	2117
Ultimo PS	Sydney	Quarry Street	ULTIMO	NSW	2007
Bankstown Senior College	East Hills	Antwerp Street	BANKSTOWN	NSW	2200
Beverly Hills North PS	Lakemba	Shorter Ave/King Georges	BEVERLY HILLS	NSW	2209
Sydney Juan Church	Ryde	7 Maxim Street	RYDE	NSW	2114
Burwood PS	Strathfield	1 Conder Street	BURWOOD	NSW	2134
Roselea PS	Epping	North Rocks Road	CARLINGFORD	NSW	2118
EFKS Sydney	Oatley	977 Forest Road	LUGARNO	NSW	2210
St Nicholas Arabic School	Lakemba	11 Henry Street	PUNCHBOWL	NSW	2196
Phap Bao Pagoda	Cabramatta	Phap Bao Pagoda,148-154 Edensor Road	ST JOHNS PARK	NSW	2176
Casula PS	Holsworthy	De Meyrick Ave	CASULA	NSW	2170
Australian Sikh Association Temple	Macquarie Fields	8 Meurants Lane	GLENWOOD	NSW	2768
Garden Suburb PS	Charlestown	2A Prospect Road	GARDEN SUBURB	NSW	2289
Auburn North PS	Auburn	Adderley Street	AUBURN	NSW	2144
Nabi Akram Islamic Centre	Granville	36 Cowper Street	GRANVILLE	NSW	2142
Doonside HS	Blacktown	Power Street	DOONSIDE	NSW	2767
Granville PS	Granville	Lena St	GRANVILLE	NSW	2142
Clemton Park PS	Canterbury	Bexley Road	EARLWOOD	NSW	2206
Fairfield PS	Fairfield	68-82 Smart Street	FAIRFIELD	NSW	2165
Grange PS	Macquarie Fields	Benham Road	MINTO	NSW	2566
Sydney Korean Uniting Church - Strathfield	Strathfield	98-102 Albert Road	STRATHFIELD	NSW	2135
Banksia Road PS	Lakemba	65 Banksia Road	GREENACRE	NSW	2190
Granville PS	Granville	Lena St	GRANVILLE	NSW	2142
Kingsgrove PS	Kogarah	Kingsgrove Road	KINGSGROVE	NSW	2208
Wiley Park GHS	Lakemba	The Boulevarde	PUNCHBOWL	NSW	2196
Brookvale PS	Wakehurst	Old Pittwater Rd	BROOKVALE	NSW	2100
Brunswick Heads PS	Ballina	2 Fingal Street	BRUNSWICK HEADS	NSW	2483
Byron Bay PS	Ballina	17 Kingsley Street	BYRON BAY	NSW	2481
Killarney Heights PS	Wakehurst	Tralee Avenue	KILLARNEY HEIGHTS	NSW	2087
